name	location	kind	frame	typed_over	status	statement	note
ASection.level_circle_meets	Concentricity/LogManifold.lean:1098	theorem	DIAG-poleN	mixed	proved	On OnePoint R the value-side level tape ((log||A.F z|| : R) : OnePoint R) tends to the SAME point infty along the pole (levels -> +inf) and along every enumerated zero (levels -> -inf).	THE LEVEL CIRCLE: two ends of the level line meet through the one N. Mixed stem + carrier (OnePoint R). R10: value-side, no placement claim.
ASection.pole_cone_chart	Concentricity/LoopAssembly.lean:199	theorem	DIAG-poleN	stem	proved	(A.F z)⁻¹ → 0 as z → pole within {pole}ᶜ — the inverse-chart reading of the cone.	Compactified reading (rmk:compactify): values approach the point at infinity in the inverse chart.
ASection.pole_cone_eps_delta	Concentricity/LoopAssembly.lean:207	theorem	DIAG-poleN	stem	proved	∀ ε > 0 ∃ δ > 0: z ≠ pole, dist z pole < δ ⇒ ‖(A.F z)⁻¹‖ < ε.	Draft I's opening clause (author 2026-07-06): ε-chart-ball about N ← δ-ball about the pole.
inv_re_bridge	Concentricity/StemFactorization.lean:425	theorem	DIAG-poleN	generic	proved	ρ ≠ 0 → ‖ρ‖² · (1/ρ).re = ρ.re — B2.0, the inverse-coordinate bridge, ‖ρ‖²-form pinned.	Inverse-chart identity; never τ²-normalized (PLAN §6 correction); confirmed 2026-07-04.
BaseC.le_nPt	Concentricity/TransportObject.lean:73	theorem	DIAG-poleN	old-total	proved	x ≤ nPt for every x : BaseC — every object closes to 𝔫.	The cone-junction arrow existence.
TotalTransport.toNHom	Concentricity/TransportObject.lean:110	def	DIAG-poleN	old-total	def	ofBase x ⟶ nObj: base leg the thin arrow x ⟶ 𝔫, fibre leg the band identity — the closing arrow the transport rides.	Categorical shadow of continuation through the real pole to N (C1).
ASection.intrinsic	Concentricity/ASection.lean:58	field	DIAG-slice	stem	def	intrinsic : IsIntrinsic F — slice preservation of the section's stem.	
ASection.c2_intrinsic	Concentricity/ASection.lean:81	field	DIAG-slice	stem	def	∀ p, IsIntrinsic (ℓ p) — C2: the family members are slice-preserving.	
ASection.c3_R_intrinsic	Concentricity/ASection.lean:117	field	DIAG-slice	stem	def	IsIntrinsic Rfac — C3: R is slice-preserving.	
ASection.c3_g_intrinsic	Concentricity/ASection.lean:127	field	DIAG-slice	stem	def	IsIntrinsic gfac — C3: g slice-preserving.	
ASection.real_on_real	Concentricity/ASection.lean:214	theorem	DIAG-slice	stem	proved	∀ x : ℝ, (A.F x).im = 0 — the section's stem is real on the real axis (def:section-map: A(ℝ) ⊆ ℝ).	DERIVED (R10) from intrinsicality; the base-circle real value channel.
ASection.domain_crossing_obstruction	Concentricity/FlipWeld.lean:860	theorem	DIAG-slice	stem	proved	If Γ = A.F ∘ δ and (δ t).im = 0 then t ∈ obstructionSet Γ and Γ t = A.F (re (δ t)) — domain-real crossings land in the value obstruction set at real footpoint values.	§D CONTACT ROW; over ASection (C1–C4); uses real_on_real (A(ℝ) ⊆ ℝ intrinsicality, def:section-map).
ASection.crossing_value_real	Concentricity/FlipWeld.lean:970	theorem	DIAG-slice	stem	proved	((x − pole)·A.F x).im = 0 at real x — the gauged crossing value is real together with its pole gauge.	over ASection; intrinsicality of F on ℝ with the C1 pole gauge.
ASection.normalizedSectionObject_world	Concentricity/NormalizedAction.lean:59	theorem	DIAG-slice	mixed	proved	(normalizedSectionObject X).1 = X.1 — the action fixes the world label.	simp rfl.
ASection.normalizedZeroPoint_mem_sliceSphere	Concentricity/NormalizedBase.lean:83	theorem	DIAG-slice	mixed	proved	normalizedZeroPoint n I ∈ sliceSphere I.val.	
ASection.normalizedSectionPoint_mem_sliceSphere	Concentricity/NormalizedBase.lean:101	theorem	DIAG-slice	mixed	proved	normalizedSectionPoint n I ∈ sliceSphere I.val — slice preservation keeps the value in the same sphere.	Via realize_mem_sliceSphere (Slice.lean:371).
Octonion.sliceEmbed_mul	Concentricity/Slice.lean:73	theorem	DIAG-slice	domain-H1	proved	For v in the unit imaginary sphere: sliceEmbed v (z*w) = sliceEmbed v z * sliceEmbed v w — φ_v is multiplicative (subalgebra iso to C).	master def:slices verbatim clause; uses v*v = -1.
Octonion.re_sliceEmbed	Concentricity/Slice.lean:111	theorem	DIAG-slice	domain-H1	proved	For unit imaginary v: re (sliceEmbed v ζ) = ζ.re.	Chart-coordinate compatibility, real leg.
Octonion.im_sliceEmbed	Concentricity/Slice.lean:115	theorem	DIAG-slice	domain-H1	proved	For unit imaginary v: im (sliceEmbed v ζ) = ζ.im • v.	Chart-coordinate compatibility, imaginary leg.
Octonion.normSq_sliceEmbed	Concentricity/Slice.lean:139	theorem	DIAG-slice	domain-H1	proved	normSq (sliceEmbed v ζ) = ζ.re² + ζ.im² — the slice embedding is norm-square preserving (orthogonality of the two legs via innerO).	Isometry of the chart; innerO_one against imaginarity of v.
Octonion.sliceEmbed_dir_sliceCoord	Concentricity/Slice.lean:151	theorem	DIAG-slice	domain-H1	proved	sliceEmbed (dir x) (sliceCoord x) = x — every octonion is the embedding of its slice coordinate along its direction; junk-robust at real points.	The reconstruction identity: chart ∘ co-chart = id.
Octonion.sliceCoord_sliceEmbed	Concentricity/Slice.lean:161	theorem	DIAG-slice	domain-H1	proved	sliceCoord (sliceEmbed v ζ) = ⟨ζ.re, |ζ.im|⟩ for unit imaginary v.	Co-chart ∘ chart: folds to the upper half-plane.
Octonion.dir_sliceEmbed_of_pos	Concentricity/Slice.lean:165	theorem	DIAG-slice	domain-H1	proved	ζ.im > 0 → dir (sliceEmbed v ζ) = v.	Upper half-plane case of the direction recovery.
Octonion.dir_sliceEmbed_of_neg	Concentricity/Slice.lean:170	theorem	DIAG-slice	domain-H1	proved	ζ.im < 0 → dir (sliceEmbed v ζ) = -v.	Lower half-plane case; pairs with sliceEmbed_neg_conj.
Octonion.dir_sliceEmbed_of_im_zero	Concentricity/Slice.lean:175	theorem	DIAG-slice	domain-H1	proved	ζ.im = 0 → dir (sliceEmbed v ζ) = 0 (the junk value at real points).	Real case: the direction junk, never consumed downstream.
Octonion.sliceEmbed_neg_conj	Concentricity/Slice.lean:182	theorem	DIAG-slice	domain-H1	proved	sliceEmbed (-v) (conj w) = sliceEmbed v w — the opposite direction sees the conjugate coordinate.	Symmetrizes the lower-half-plane case with intrinsicality in realize_mem_sliceSphere.
ASection.realize_mem_sliceSphere	Concentricity/Slice.lean:371	theorem	DIAG-slice	domain-H1	proved	For unit imaginary v and q ∈ sliceSphere v: realize q ∈ sliceSphere v — slice preservation of values, A(C_I*) ⊆ C_I*.	master def:section-map(i); trichotomy on ζ.im, intrinsicality symmetrizes the lower half-plane.
IsIntrinsic	Concentricity/StemRing.lean:34	def	DIAG-slice	stem	def	IsIntrinsic (F : ℂ → ℂ) : Prop := ∀ z, F (conj z) = conj (F z) — the stem-level slice-preservation predicate (def:slice-preserving (i)/(ii)).	SOURCED docstring quotes def:slice-preserving; consumed by every intrinsic field/row downstream.
StemRing.isIntrinsic	Concentricity/StemRing.lean:74	theorem	DIAG-slice	stem	proved	For f : StemRing, IsIntrinsic (f : ℂ → ℂ).	Membership unpack.
StemRing.real_on_real	Concentricity/StemRing.lean:110	theorem	DIAG-slice	stem	proved	IsIntrinsic F → ∀ x : ℝ, (F x).im = 0 — intrinsic stems are real on the real axis (def:slice-preserving (iii)).	DERIVED register (R10); grounds real values on the base circle; consumed by ASection.real_on_real.
sliceCoord_embed_of_im_pos	Concentricity/SynthesisE6.lean:105	theorem	DIAG-slice	domain-H1	proved	For v ∈ unitImaginarySphere and 0 < z.im: Octonion.sliceCoord (Octonion.sliceEmbed v z) = z — the slice coordinate of an embedded upper-half point is itself.	private helper; ε-encounter form of PhiConversion's sliceCoord_sphere_pt.
im_embed_ne_zero	Concentricity/SynthesisE6.lean:112	theorem	DIAG-slice	domain-H1	proved	For v ∈ unitImaginarySphere and z.im ≠ 0: Octonion.im (Octonion.sliceEmbed v z) ≠ 0 — the embedding of a non-real point is non-real.	private helper; via normSq_smul against v's norm 1.
Octonion.exp_sliceEmbed	Concentricity/Toolkit.lean:57	theorem	DIAG-slice	domain-H1	proved	For v in unitImaginarySphere and 0 <= zeta.im: exp (sliceEmbed v zeta) = sliceEmbed v (Complex.exp zeta) - the slice display pin, upper-half convention.	Docstring says 'Queued (R8)' but the proof is present - stale queue note.
Octonion.exp_sliceEmbed_of_im_neg	Concentricity/Toolkit.lean:75	theorem	DIAG-slice	domain-H1	proved	For zeta.im < 0: exp (sliceEmbed v zeta) = sliceEmbed v (Complex.exp zeta) - the lower-half (conjugate) clause via dir_sliceEmbed_of_neg + sliceEmbed_neg_conj + exp o conj = conj o exp.	Faithfulness of the master's 'x, y in R'; proved despite 'Queued (R8)' docstring.
Octonion.exp_sliceEmbed'	Concentricity/Toolkit.lean:117	theorem	DIAG-slice	domain-H1	proved	The slice display without a sign hypothesis: exp (sliceEmbed v zeta) = sliceEmbed v (Complex.exp zeta) for every zeta : C, v in unitImaginarySphere.	The two half-plane pins combined; heavily consumed by LogManifold's fibre rows.
Octonion.sliceEmbed_eq_smul	Concentricity/WeldW3.lean:104	theorem	DIAG-slice	domain-H1	proved	sliceEmbed v z = z.re • (1 : Octonion) + z.im • v — the slice embedding in scalar-action form.	definitional helper for continuity of slice-embedded loops; via ofReal_eq_smul_one (Slice.lean).
riemannZeta_conj	Concentricity/ZetaConj.lean:62	theorem	DIAG-slice	zeta	proved	riemannZeta (conj s) = conj (riemannZeta s) for EVERY s : ℂ (Mathlib's ascribed value at s = 1 included, riemannZeta_one being real).	THE CONJUGATION PIN, DERIVED (R10): Dirichlet series termwise on Re>1 + identity theorem over connected ℂ∖{1}. Titchmarsh cite is faithfulness only.
riemannZeta_intrinsic	Concentricity/ZetaConj.lean:125	theorem	DIAG-slice	zeta	proved	IsIntrinsic riemannZeta — ζ is an intrinsic stem (∀ z, ζ(conj z) = conj(ζ z)).	The stem face of thm:zeta-in-R consumed by cor:zeta-section's intrinsic field; IsIntrinsic is the stem-level predicate (StemRing.lean:34).
riemannZeta_im_ofReal	Concentricity/ZetaConj.lean:130	theorem	DIAG-slice	zeta	proved	(riemannZeta (x : ℝ)).im = 0 — ζ is real on the real axis.	def:zeta_O(ii)'s 'ζ(s) ∈ ℝ' clause; DERIVED through StemRing.real_on_real from the intrinsic pin.
zetaO_sliceEmbed	Concentricity/ZetaOctonion.lean:88	theorem	DIAG-slice	domain-H1	proved	For v ∈ S⁶, 0 < ζ.im: zetaO (sliceEmbed v ζ) = sliceEmbed v (riemannZeta ζ) — the slice display law, upper half (def:zeta_O(i)).	ζ_𝕆∘φ_v = φ_v∘ζ on the upper half; exp_sliceEmbed pattern.
zetaO_sliceEmbed_of_im_neg	Concentricity/ZetaOctonion.lean:181	theorem	DIAG-slice	domain-H1	proved	For v ∈ S⁶, ζ.im < 0: zetaO (sliceEmbed v ζ) = sliceEmbed v (riemannZeta ζ) — the slice display law, lower half; the two sign reversals cancel via the conjugation pin.	prop:well-defined's cancellation clause; riemannZeta_conj + sliceEmbed_neg_conj.
zetaO_sliceEmbed'	Concentricity/ZetaOctonion.lean:223	theorem	DIAG-slice	domain-H1	proved	For v ∈ S⁶, ζ ≠ 1: zetaO (sliceEmbed v ζ) = sliceEmbed v (riemannZeta ζ) — Island B2, prop:well-defined: the ONE display law with no sign hypothesis.	Trichotomy assembly of upper/lower/real clauses; well-definedness of ζ_𝕆.
zetaO_mem_sliceSphere	Concentricity/ZetaOctonion.lean:262	theorem	DIAG-slice	domain-H1	proved	For v ∈ S⁶, q ∈ sliceSphere v: zetaO q ∈ sliceSphere v — Island B3, thm:zeta-in-R's slice-preservation face: ζ_𝕆 maps each compactified slice sphere into itself.	Slice-regularity clause rides the docstring per the Octonion.exp convention; pole lands on ∞ ∈ every sphere.
zetaC2_intrinsic	Concentricity/ZetaSection.lean:70	theorem	DIAG-slice	zeta	proved	∀ p : Nat.Primes, IsIntrinsic (zetaEulerLog p).	Formal computation by the symmetrized shape.
zetaRfac_intrinsic	Concentricity/ZetaSection.lean:285	theorem	DIAG-slice	zeta	proved	IsIntrinsic zetaRfac — off 0 by Gammaℝ_conj; at 0 the update value 1/2 is real.	zetaRfac itself defined upstream (ζ assembly layer); the 1/Γℝ unit with the origin's zero divided out.
zetaGfac_intrinsic	Concentricity/ZetaSection.lean:397	theorem	DIAG-slice	zeta	proved	IsIntrinsic zetaGfac.	choose_spec projection.
weierstrassE_conj	Concentricity/ZetaXiMatch.lean:39	theorem	DIAG-slice	stem	proved	weierstrassE p (conj w) = conj (weierstrassE p w) — the elementary factor E_p has real coefficients, so it is conj-equivariant.	Conj-equivariance = stem shadow of slice preservation; feeds spherePrimary_conj and the intrinsic divisor fold.
spherePrimary_conj	Concentricity/ZetaXiMatch.lean:51	theorem	DIAG-slice	stem	proved	spherePrimary p a (conj w) = conj (spherePrimary p a w) — the conjugate-pair factor is swap-symmetric under conjugation in the variable.	Pair factor's conj-equivariance; feeds zetaProd_intrinsic.
IsIntrinsic.analyticOrderAt_conj	Concentricity/ZetaXiMatch.lean:92	theorem	DIAG-slice	stem	proved	For intrinsic f analytic everywhere: analyticOrderAt f (conj s) = analyticOrderAt f s — intrinsic entire functions have conjugation-symmetric divisors.	Folds the lower half-plane divisor onto the upper — the free half of the B2 order match.
zetaProd_intrinsic	Concentricity/ZetaXiMatch.lean:157	theorem	DIAG-slice	zeta	proved	IsIntrinsic zetaProd — P(conj z) = conj (P z), termwise conj-equivariance pushed through the infinite product.	Uses HasProd.map along starRingEnd; slice-preservation shadow of the C3 presentation.
completedRiemannZeta₀_conj	Concentricity/ZetaXiMatch.lean:172	theorem	DIAG-slice	zeta	proved	completedRiemannZeta₀ (conj s) = conj (completedRiemannZeta₀ s) — Λ₀ is intrinsic, by the identity theorem on the connected plane from Re > 1 agreement.	ZetaConj identity-theorem pattern, no puncture needed since Λ₀ is entire.
xi_intrinsic	Concentricity/ZetaXiMatch.lean:223	theorem	DIAG-slice	zeta	proved	IsIntrinsic xi — pointwise algebra over completedRiemannZeta₀_conj (xi = s(s−1)Λ₀ + 1).	xi defined in ZetaInfinitude.lean; makes ξ's divisor conjugation-symmetric.
Octonion.pr1_Eexp	Concentricity/LogManifold.lean:364	theorem	DIAG-triangle	domain-H1	proved	(Eexp q).1 = exp q - the commuting triangle pi o E = exp (VS Rem 5.2(a)), by rfl.	Definitional, as printed ('by definition').
Octonion.exp_Llog	Concentricity/LogManifold.lean:407	theorem	DIAG-triangle	domain-H1	proved	exp (Llog x) = x.1 for x in logManifold - exp(L x) = pi x, the display closing VS Def 5.5.	exp(lift) = value on the manifold; consumed by continuation_of_isLift.
ASection.TotalA	Concentricity/AFunctor.lean:137	def	ENGINE	old-total	def	Type := Grothendieck (functorA ⋙ Grpd.forgetToCat) — T_A = ∫_{A.Base} A.	On the contaminated list; category instance at line 140 (inferInstanceAs, boilerplate).
TotalObject	Concentricity/Base.lean:61	def	ENGINE	old-total	def	TotalObject := Grothendieck (bandFunctor ⋙ forgetToCat) — 𝒯 = ∫_𝓑 F on the static base.	Category instance at 63 (boilerplate).
TotalObject.level_eq_of_zigzag	Concentricity/Base.lean:81	theorem	ENGINE	old-total	proved	Zigzag X Y → level X = level Y — the level is conserved along every zigzag of 𝒯.	Via Grothendieck.forget projection + Discrete.eq_of_hom.
TotalObject.zigzag_iff_level	Concentricity/Base.lean:119	theorem	ENGINE	old-total	proved	Zigzag X Y ↔ level X = level Y — zigzag-reachability carries exactly the level in the static base.	
ASection.transport_pi0_singleton	Concentricity/ConcentricityReadout.lean:171	theorem	ENGINE	old-total	proved	Subsingleton (ConnectedComponents TotalTransport) — π0(𝒯^𝔫) is the singleton set, via classOf_eq_nClass.	In-file flag: lives on the old thin-cone transport, NOT the argument's carrier (author's catch 2026-07-11).
ASection.totalA_pi0_singleton	Concentricity/ConcentricityReadout.lean:197	theorem	ENGINE	old-total	sorried	Subsingleton (ConnectedComponents A.TotalA) — the author's singleton on T_A = ∫_{A.Base} A, run through the readout equivalence, jointly_surjective, toColimitObj, toColimitObj_eq_of_zigzag.	sorry at line 208: the zig-zag inside the colimit remains; one of the file's two sorries.
ASection.label_class_eq_nClass	Concentricity/ConcentricityReadout.lean:228	theorem	ENGINE	old-total	proved	transportClass n = ConnectedComponents.mk TotalTransport.nObj — the footpoint class at each zero's real part IS 𝔫's class.	Author's sentence (2a): the middle zig-zag to N; delegates to classOf_eq_nClass.
ASection.concentricity_transport_gpv	Concentricity/IntegrateTheorem.lean:357	theorem	ENGINE	old-total	proved	For GPV-populated A: transportClass n = transportClass m — the zero classes coincide in the populated 𝒯^𝔫, consuming the enriched witnesses' own closing arrows.	Mode A2: thm:concentricity on the enriched object; delegates to frozen concentricity_transport via forget.
ASection.transport_universal_gpv	Concentricity/IntegrateTheorem.lean:364	theorem	ENGINE	old-total	proved	Class-wide: for EVERY A-section, transportClass n = transportClass m through its own gpvPopulated.	Enriched form of frozen transport_universal; consumed by ConcentricityReadout's gpvZigzag feed.
KeystoneAssembly.example_zigzag_iff_level (anonymous example)	Concentricity/KeystoneAssembly.lean:73	example	ENGINE	old-total	proved	Zigzag (TotalObject.ofLevel (A.transportLevel n)) (TotalObject.ofLevel (A.transportLevel m)) ↔ A.transportLevel n = A.transportLevel m.	CONTAMINATED row: TotalObject/Zigzag from Base.lean (old static base); docstring: zigzag must be SUPPLIED to 𝒯, not extracted from it.
S2.zigzag_of_gen	Concentricity/PhiConversion.lean:211	theorem	ENGINE	domain-H1	proved	Gen w w' → Zigzag (S2.of w) (S2.of w') — each generator yields a zigzag of 𝒮₂ via the quotient functor on toPath.	generator-to-zigzag plumbing for the backward direction of π₀(𝒮₂)
sphereWorld_zigzag	Concentricity/SliceSphereWorld.lean:288	theorem	ENGINE	sphereworld	proved	Zigzag I J for all I J : SphereWorld — any two worlds joined by a direction morphism; π₀(𝒮₂) is one component.	Via G2.exists_smul_eq_of_mem_unitImaginarySphere (Baez thm:G2-S6); fibre-connectedness input to any readout.
pi0Functor	Concentricity/Theorem.lean:31	def	ENGINE	generic	def	pi0Functor : Cat ⥤ Type — obj = ConnectedComponents, map = Functor.mapConnectedComponents; functor laws by Quotient induction.	π₀ : Cat → Set, left adjoint reading of lem:pi0-grothendieck proof; generic Mathlib-level machinery
pi0Cocone	Concentricity/Theorem.lean:52	def	ENGINE	generic	def	For F : B ⥤ Grpd, the cocone on (F ⋙ forgetToCat) ⋙ pi0Functor with apex π₀(∫F); leg at b sends mk x to mk ⟨b,x⟩ via Grothendieck.ι; naturality by ιNatTrans zigzag.	cocartesian register only (PHASE4_PLAN guardrail); DERIVED (R10)
toColimitObj	Concentricity/Theorem.lean:68	def	ENGINE	generic	def	toColimitObj F X : colimit ((F ⋙ forgetToCat) ⋙ pi0Functor) — the colimit class at X.base of the fibre component mk X.fiber.	object part of the π₀-Grothendieck comparison
toColimitObj_eq_of_hom	Concentricity/Theorem.lean:77	theorem	ENGINE	generic	proved	A morphism φ : X ⟶ Y of ∫F gives toColimitObj F X = toColimitObj F Y — base leg absorbed by colimit.w, fibre leg by the fibre's π₀.	'zigzags project to the base and join fibrewise' (lem:pi0-grothendieck proof)
toColimitObj_eq_of_zigzag	Concentricity/Theorem.lean:92	theorem	ENGINE	generic	proved	Zigzag X Y in ∫F implies toColimitObj F X = toColimitObj F Y, by refl-trans closure of toColimitObj_eq_of_hom.	consumed by ASection.concentricity's proof (ConcentricityReadout.lean per repositioning note)
pi0GrothendieckEquiv	Concentricity/Theorem.lean:108	def	ENGINE	generic	def	ConnectedComponents (Grothendieck (F ⋙ forgetToCat)) ≃ colimit ((F ⋙ forgetToCat) ⋙ pi0Functor) — forward Quotient.lift of toColimitObj, inverse colimit.desc of pi0Cocone.	the named canonical equivalence of lem:pi0-grothendieck; round trips via Types colimit presentation
pi0_grothendieck	Concentricity/Theorem.lean:144	theorem	ENGINE	generic	proved	Nonempty (ConnectedComponents (Grothendieck (F ⋙ forgetToCat)) ≃ colimit ((F ⋙ forgetToCat) ⋙ pi0Functor)) for any F : B ⥤ Grpd.	master lem:pi0-grothendieck CLOSED; Thomason reading expository, NOT used
TotalTransport	Concentricity/TransportObject.lean:85	def	ENGINE	old-total	def	TotalTransport := Grothendieck (bandFunctorC ⋙ forgetToCat) — the populated total object 𝒯^𝔫 = ∫_{𝓑^𝔫} F.	Category instance at 87 (inferInstanceAs, boilerplate).
TotalTransport.zigzag_to_n	Concentricity/TransportObject.lean:117	theorem	ENGINE	old-total	proved	Zigzag (ofBase x) nObj — a morphism to 𝔫 puts any object in 𝔫's zigzag class.	Zigzag.of_hom; 'the small argument'.
TotalTransport.classOf_eq_nClass	Concentricity/TransportObject.lean:121	theorem	ENGINE	old-total	proved	ConnectedComponents.mk (ofBase x) = ConnectedComponents.mk nObj for every base point.	
ASection.concentricity_transport	Concentricity/TransportObject.lean:184	theorem	ENGINE	old-total	proved	Given hA : Populated: transportClass n = transportClass m — the re-encoded theorem on 𝒯^𝔫, connected at 𝔫 by the witnesses' arrows.	Consumes arrows, never level comparison; Pin 2 prices what this cannot yield.
ASection.transport_universal	Concentricity/TransportObject.lean:195	theorem	ENGINE	old-total	proved	HONESTY PIN 1: transportClass n = transportClass m unconditionally — class-wide by design, via populated.	Level-separating readout deferred downstream per docstring.
ASection.sphereZero	Concentricity/ASection.lean:115	field	MAP-address	stem	def	sphereZero : ℕ → ℂ — C3 datum: {qₙ} enumerating the residue-ℂ zero-spheres, by upper-half-plane stem representatives.	The divisor enumeration every zero-address row rides.
ASection.zeroAddress	Concentricity/ConcentricityReadout.lean:161	def	MAP-address	mixed	def	zeroAddress A n : A.TotalA := Grothendieck.mk (functorA ⋙ forgetToCat) anchor baseWorld — the n-th zero-sphere's address in T_A (n unused).	TotalA/functorA (old-total) at old-base anchor; flagged in zero_levels_common as a substitute feed REMOVED per author ruling.
ASection.sphereZero_norm_tendsto_atTop	Concentricity/InboxWire.lean:398	theorem	MAP-address	stem	proved	Tendsto (fun n => ‖A.sphereZero n‖) atTop atTop — the enumerated divisor leaves every bounded set: the march to N.	C3-through-N (c3_atN via indices_in_closedBall_finite, PairingE2); AdFslice Prop 3.1(ii)/GSS 3.12 analogue
ASection.sphereZero_im_tendsto_atTop	Concentricity/InboxWire.lean:422	theorem	MAP-address	stem	proved	Tendsto (fun n => (A.sphereZero n).im) atTop atTop — the divisor climbs the strip to N: escape in norm redirected to height by the strip walls.	jointly consumes c3_atN, c3_lowerEdge, re_le_upperEdge (C2 wall), c3_sphere_nonreal; class-wide zeros-march-up picture
ASection.indices_below_height_finite	Concentricity/InboxWire.lean:456	theorem	MAP-address	stem	proved	{n : ℕ | (A.sphereZero n).im ≤ T}.Finite for every T — N(T) is a genuine finite count for every A-section.	strip walls close the band {Im ≤ T} into a bounded region trapped by c3_atN's point-density
ASection.normalizedZeroSlicePoint_world	Concentricity/NormalizedAction.lean:62	theorem	MAP-address	mixed	proved	(normalizedZeroSlicePoint n I).1 = I.	simp rfl.
ASection.normalizedZeroSlicePoint_value	Concentricity/NormalizedAction.lean:65	theorem	MAP-address	mixed	proved	(normalizedZeroSlicePoint n I).2.val = normalizedZeroPoint n I.	simp rfl.
ASection.normalizedZero_index	Concentricity/NormalizedBase.lean:48	theorem	MAP-address	mixed	proved	(normalizedZero n I).index = n.	simp rfl.
ASection.normalizedZeroLift	Concentricity/NormalizedBase.lean:75	def	MAP-address	mixed	def	Octonion point of the n-th C-residue sphere in world I: sliceEmbed I.val (sphereZero n).	Ranging I sweeps the points of the normalized zero 6-sphere.
ASection.indices_in_closedBall_finite	Concentricity/PairingE2.lean:201	theorem	MAP-address	stem	proved	{k : ℕ | A.sphereZero k ∈ Metric.closedBall c R}.Finite: any closed disk traps finitely many enumeration indices, from c3_atN's decay of 1/(1+‖ρₖ‖²).	Zero-enumeration density row; supplies the head finsets of the ledger.
ASection.exists_head_finset	Concentricity/PairingE2.lean:610	theorem	MAP-address	stem	proved	∃ s : Finset ℕ, ∀ k, k ∈ s ↔ A.sphereZero k ∈ Metric.ball c R — the canonical trapped-index finset exists for every disk.	From indices_in_closedBall_finite.
ASection.sliceCoord_sphere_pt	Concentricity/PhiConversion.lean:446	theorem	MAP-address	domain-H1	proved	sliceCoord (sliceEmbed v (A.sphereZero n)) = A.sphereZero n for v ∈ unitImaginarySphere — the coordinate of a sphere representative is the enumerated zero itself.	uses c3_sphere_nonreal (upper-half representatives)
ASection.fiber_tally_pos	Concentricity/SigmaE3.lean:330	theorem	MAP-address	stem	proved	0 < Nat.card {k | A.sphereZero k = A.sphereZero n} — the enumeration fiber at each zero is nonempty and finite.	Via sphereZero_fiber_finite; makes each zero-circle wind ≥ 1.
ASection.sphereZero_complete	Concentricity/StemFactorization.lean:133	theorem	MAP-address	stem	proved	A.F z = 0 → 0 < z.im → ∃ n, A.sphereZero n = z — every upper-half stem zero is enumerated (completeness half of the divisor bundle).	Via §8-repaired c3_factorization + §4α majorant nonvanishing of every right-side factor.
ASection.sphereZero_fiber_finite	Concentricity/StemFactorization.lean:463	theorem	MAP-address	stem	proved	{k | A.sphereZero k = A.sphereZero n}.Finite — every zero value is enumerated with finite multiplicity.	From c3_locMajorant: infinite fiber would pin u k ≥ 1 infinitely often against Summable u.
ASection.exists_rect_head_finset	Concentricity/WeldW12.lean:958	theorem	MAP-address	stem	proved	Exists a finset s of indices with k in s iff sphereZero k in openRect x1 x2 y1 y2 — the rectangle traps finitely many enumerated zeros.	Via indices_in_closedBall_finite (PairingE2, c3_atN density); head finset for W2(d).
ASection.trapped_counts_additive	Concentricity/WeldW12.lean:1370	theorem	MAP-address	stem	proved	Disjoint traps Un, Um inside UR with trapped finsets sn, sm, sR: sn.card + sm.card <= sR.card — the only cross-contour relation the counting forces.	The drive's verdict made a theorem: additivity and nothing more; over arbitrary subsets of C.
zeroParams_infinite	Concentricity/ZeroSpheres.lean:163	theorem	MAP-address	zeta	proved	The image of the nontrivial-zero set under s ↦ (s.re, |s.im|) is infinite — the parameter set of the spheres.	(iv) stepping stone; ≤2-to-1 fibre argument over riemannZeta_nontrivialZeros_infinite.
zetaEnum_count_le_sum_mult	Concentricity/ZetaDensityCore.lean:50	theorem	MAP-address	zeta	proved	ncard {k | ‖zetaSphereZero k‖ < T} ≤ Σ over upper ball zeros ρ of zetaZeroMult ρ — enumeration ball-count bounded by summed multiplicities.	The pairs injection (zetaZeroEnum injective into zetaZeroPairs) + union bound; ties the address enumeration to multiplicity counting.
zetaShellIdx	Concentricity/ZetaDensityCore.lean:216	def	MAP-address	zeta	def	zetaShellIdx k := Nat.log 2 (⌊‖zetaSphereZero k‖⌋ + 1) — the dyadic shell index of an enumerated zero.	Milestone (ii) address helper: assigns each enumerated zero its dyadic shell j.
zetaUpperZeros_countable	Concentricity/ZetaDivisor.lean:50	theorem	MAP-address	zeta	proved	zetaUpperZeros.Countable — from discreteness: each closed ball meets the zero set finitely, countably many balls cover ℂ.	IsCompact.inter_riemannZetaZeros_finite over a ball cover; enumeration prerequisite.
zetaZeroPairs	Concentricity/ZetaDivisor.lean:128	def	MAP-address	zeta	def	zetaZeroPairs = {p : ℂ × ℕ | p.1 ∈ zetaUpperZeros ∧ p.2 < zetaZeroMult p.1} — the divisor as (zero, repetition index) pairs.	The multiset carrier of the repeated enumeration; no hidden simplicity assumption (R8).
zetaZeroPairs_countable	Concentricity/ZetaDivisor.lean:131	theorem	MAP-address	zeta	proved	zetaZeroPairs.Countable — from zetaUpperZeros_countable × countable ℕ.	Enumeration prerequisite.
zetaZeroPairs_infinite	Concentricity/ZetaDivisor.lean:136	theorem	MAP-address	zeta	proved	zetaZeroPairs.Infinite — via the injection s ↦ (s, 0) from the infinite upper-half zero set.	Enumeration prerequisite.
